state,isMetro,parent_count,child_count,needs_childcare,total_cost,median_family_income
1,False,1,3,1,75753.0588,54376.6015625
1,False,1,4,1,81054.8904,54376.6015625
1,False,2,0,0,46656.0588,54376.6015625
1,False,2,1,1,59824.8456,54376.6015625
1,False,2,2,1,73083.5856,54376.6015625
1,False,2,3,1,86367.3636,54376.6015625
1,False,2,4,1,92665.1364,54376.6015625
1,False,1,0,0,34707.8052,51316.66015625
1,False,1,1,1,47862.6828,51316.66015625
1,False,1,2,1,62306.73,51316.66015625
1,False,1,3,1,76596.8088,51316.66015625
1,False,1,4,1,82310.232,51316.66015625
1,False,2,0,0,48626.9532,51316.66015625
1,False,2,1,1,60850.8276,51316.66015625
1,False,2,2,1,74535.6564,51316.66015625
1,False,2,3,1,87372.5628,51316.66015625
1,False,2,4,1,93277.0608,51316.66015625
1,False,1,0,0,34695.2436,58880.2578125
1,False,1,1,1,47779.254,58880.2578125
1,False,1,2,1,62071.4412,58880.2578125
1,False,1,3,1,76761.726,58880.2578125
1,False,1,4,1,82411.998,58880.2578125
1,False,2,0,0,46987.14,58880.2578125
1,False,2,1,1,60648.5628,58880.2578125
1,False,2,2,1,74187.0648,58880.2578125
1,False,2,3,1,87424.476,58880.2578125
1,False,2,4,1,94095.6444,58880.2578125
1,False,1,0,0,35953.4124,69363.125
1,False,1,1,1,49997.0916,69363.125
1,False,1,2,1,66027.1344,69363.125
1,False,1,3,1,82558.02,69363.125
1,False,1,4,1,88940.8656,69363.125
1,False,2,0,0,49580.6952,69363.125
1,False,2,1,1,64455.522,69363.125
1,False,2,2,1,78986.4144,69363.125
1,False,2,3,1,93652.6752,69363.125
1,False,2,4,1,100350.012,69363.125
1,True,1,0,0,34649.6688,62369.4140625
1,True,1,1,1,49527.7212,62369.4140625
1,True,1,2,1,65462.7948,62369.4140625
1,True,1,3,1,79516.3248,62369.4140625
1,True,1,4,1,85918.2012,62369.4140625
1,True,2,0,0,47963.5728,62369.4140625
1,True,2,1,1,62403.2112,62369.4140625
1,True,2,2,1,77612.5368,62369.4140625
1,True,2,3,1,90902.49,62369.4140625
1,True,2,4,1,96695.5608,62369.4140625
1,False,1,0,0,34617.1056,49227.06640625
1,False,1,1,1,47602.122,49227.06640625
1,False,1,2,1,61750.1304,49227.06640625
1,False,1,3,1,76605.012,49227.06640625
1,False,1,4,1,82107.8844,49227.06640625
1,False,2,0,0,47745.9936,49227.06640625
1,False,2,1,1,60268.506,49227.06640625
1,False,2,2,1,73668.4164,49227.06640625
1,False,2,3,1,87084.9492,49227.06640625
1,False,2,4,1,92733.7968,49227.06640625
1,False,1,0,0,36065.2824,49986.91796875
1,False,1,1,1,49834.8576,49986.91796875
1,False,1,2,1,64631.5836,49986.91796875
1,False,1,3,1,77984.7828,49986.91796875
1,False,1,4,1,84101.5776,49986.91796875
1,False,2,0,0,48788.5836,49986.91796875
1,False,2,1,1,63061.3416,49986.91796875
1,False,2,2,1,77068.2192,49986.91796875
1,False,2,3,1,88848.252,49986.91796875
1,False,2,4,1,95187.8316,49986.91796875
1,False,1,0,0,34373.2524,55480.4375
1,False,1,1,1,47325.768,55480.4375
1,False,1,2,1,61535.8596,55480.4375
1,False,1,3,1,75078.984,55480.4375
1,False,1,4,1,80529.264,55480.4375
1,False,2,0,0,47016.6708,55480.4375
1,False,2,1,1,60251.9292,55480.4375
1,False,2,2,1,73729.248,55480.4375
1,False,2,3,1,85937.8764,55480.4375
1,False,2,4,1,91621.0776,55480.4375
1,False,1,0,0,35257.5264,59327.95703125
