state,isMetro,parent_count,child_count,needs_childcare,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes
2,True,1,3,1,12075.6708,8906.20824,12958.068599999999,12052.9488,7436.63778,15350.7936,8542.98042
2,True,1,4,1,12075.6708,10901.8008,13205.304,14486.1036,8125.89444,15350.7936,8462.7693
2,True,2,0,0,7145.08668,5668.2774,12730.173,9506.95968,4624.77114,0.0,5615.9121
2,True,2,1,1,8910.944459999999,7054.74168,13715.8812,11940.11568,5770.25814,5644.07718,6595.2029999999995
2,True,2,2,1,8910.944459999999,8934.67752,14312.3592,14373.2724,6445.719,13066.8606,7160.7011999999995
2,True,2,3,1,12075.6708,10908.56256,14580.036,16806.4272,8128.31508,15350.7936,8305.03122
2,True,2,4,1,12075.6708,13349.4672,14751.0498,19239.5844,9002.363519999999,15350.7936,7807.79298
3,False,1,0,0,7044.0,3133.28796,11674.58424,5517.2802,3665.07684,0.0,5501.0274
3,False,1,1,1,10596.0,4617.705,12236.364,8284.33296,5479.28352,6229.72776,5645.0196
3,False,1,2,1,10596.0,6765.70896,13005.3756,11051.38476,6242.127,12734.3184,6288.08208
3,False,1,3,1,14244.0,9025.75488,13524.636,13818.438,8366.5752,14735.7324,8816.73408
3,False,1,4,1,14244.0,11048.1336,13778.8536,16585.4916,9084.80424,14735.7324,8615.19504
3,False,2,0,0,8040.0,5744.36136,13557.1176,11034.56028,4955.48508,0.0,6513.89424
3,False,2,1,1,10596.0,7149.43584,14271.9756,13801.6128,6378.40356,6229.72776,7411.92996
3,False,2,2,1,10596.0,9054.60648,14693.07,16568.6664,7055.0076,12734.3184,7685.91432
3,False,2,3,1,14244.0,11054.98608,14865.1992,19335.7176,9087.2388,14735.7324,8884.2576
3,False,2,4,1,14244.0,13528.6536,15478.1436,22102.77,9965.73708,14735.7324,8723.72676
3,True,1,0,0,8178.0,3231.85182,10890.09594,5930.38014,4137.409799999999,0.0,5689.897559999999
3,True,1,1,1,12060.0,4762.9637999999995,11562.805260000001,8894.71434,6148.25628,8489.2782,6645.35922
3,True,1,2,1,12060.0,6978.53838,12322.558799999999,11859.04854,6975.529140000001,16335.662400000001,8101.04478
3,True,1,3,1,16980.0,9309.677520000001,13193.6748,14823.3816,9628.66332,18749.934,11767.74618
3,True,1,4,1,16980.0,11395.6743,13819.4202,17787.7164,10407.554100000001,18749.934,11979.68358
3,True,2,0,0,9300.0,5925.0615,12909.8346,11860.76022,5585.93118,0.0,6846.72072
3,True,2,1,1,12060.0,7374.33546,13624.6482,14825.094000000001,7123.31616,8489.2782,8410.128659999998
3,True,2,2,1,12060.0,9339.43728,14536.2282,17789.4288,7857.0648,16335.662400000001,9131.2302
3,True,2,3,1,16980.0,11402.74326,15157.0296,20753.7618,10410.193019999999,18749.934,11604.14436
3,True,2,4,1,16980.0,13954.2246,15201.3288,23718.0966,11362.89006,18749.934,11423.49612
4,False,1,0,0,8616.0,3610.54356,12416.568,6345.27984,4470.01572,0.0,6313.53876
